,Q,m,${\beta}$,${\gamma_f}$,${R_c/H_{m0}}$,${s_p}$,${s_m}$,"${s_{-1,0}}$",${G_c/H_{m0}}$,${A_c/H_{m0}}$,${B_t/H_{m0}}$,${h/H_{m0}}$,${h_t/H_{m0}}$,${cot\alpha}$
8090,1.605053391678258e-05,1000.0,45.0,0.4,0.995405819295559,0.0287069462199133,0.0359678394134688,0.0319914554028981,0.995405819295559,0.995405819295559,0.995405819295559,3.7136294027565087,3.483920367534457,2.0
7221,0.0044391927381131,1000.0,0.0,0.4,0.605726872246696,0.045434603234256,0.0576832891686647,0.0549758699134498,0.9911894273127752,0.605726872246696,0.0,3.2488986784140965,3.2488986784140965,1.5
5249,0.0011370115466257,50.0,0.0,0.47,0.9418604651162792,0.0428973513480308,0.0617721859411643,0.0519057951311173,1.936046511627907,0.627906976744186,0.0,3.1395348837209305,3.1395348837209305,2.0
4230,0.0004010492266396,1000.0,20.0,1.0,1.764705882352941,0.0236291071641689,0.0340259143164032,0.0285912196686443,0.0,1.764705882352941,0.0,5.294117647058823,5.294117647058823,4.0
5386,1.3781958140918232e-05,50.0,0.0,0.38,1.486046511627907,0.0428973513480308,0.0617721859411643,0.0519057951311173,2.72093023255814,0.627906976744186,0.0,3.1395348837209305,3.1395348837209305,1.3333333333333333
2069,0.0058538934046919,50.0,0.0,1.0,1.124543154343548,0.0257017859928791,0.0370105718297459,0.0310991610513837,0.0,1.124543154343548,0.0,1.6868147315153217,1.6868147315153217,4.0
5218,0.0019639290350808,50.0,0.0,0.4,0.7848837209302326,0.0428973513480308,0.0617721859411643,0.0519057951311173,1.936046511627907,0.627906976744186,0.0,3.1395348837209305,3.1395348837209305,2.0
4677,0.0022206859236578,100.0,0.0,1.0,2.114887178903188,0.0137520135467139,0.0198028995072681,0.0033077206057886,0.0,2.114887178903188,0.0,1.6268362914639902,1.6268362914639902,3.0
7962,4.437287541035613e-05,1000.0,25.0,0.4,1.0699588477366255,0.0249520217567471,0.0347251026506299,0.0311331740117507,1.0699588477366255,1.0699588477366255,1.0699588477366255,3.991769547325103,3.744855967078189,2.0
7182,0.0005644660395961,1000.0,0.0,0.4,0.9047365620010644,0.0470108036768541,0.0580380292306841,0.0568830724489935,0.9579563597658328,0.9047365620010644,0.0,2.82064928153273,2.82064928153273,1.5
6437,8.820631403972052e-06,1000.0,0.0,0.44,1.42454861686268,0.0221577879370238,0.0368030918923612,0.0289345257625417,1.4778102065239742,1.42454861686268,0.0,12.042405168129866,12.042405168129866,1.5
6578,0.0005122804102504,1000.0,0.0,0.47,1.2979870201297985,0.0488289338694723,0.0658831587879614,0.055637966838689,0.9808625753776952,1.2979870201297985,0.0,7.441425585744142,7.441425585744142,1.5
3655,9.75550239677469e-05,42.5,0.0,0.47,1.458821004339573,0.0226017153611717,0.0325464701200873,0.0273480755870178,2.7834975485099904,1.7606460397201746,2.096007190143065,1.9727984196616115,1.2995244578887002,1.5
5723,0.0012864526423017,1000.0,0.0,0.44,1.0,0.0149618080398118,0.0177908784825307,0.0181037877281723,1.3636363636363635,1.0,0.0,3.6363636363636367,3.6363636363636367,1.5
10175,0.023989852592545,58.32606067666516,0.0,1.0,1.2655512655512655,0.0091124088087702,0.0195671383567861,0.0131013897666649,0.0,1.2655512655512655,0.0,2.80995280995281,2.80995280995281,2.7
859,0.0378533148159701,20.0,0.0,1.0,0.5720823798627003,0.0371862486463592,0.0535481980507573,0.0449953608620946,0.0,0.5720823798627003,0.0,2.288329519450801,2.288329519450801,2.0
651,4.937056458548691e-05,24.14,0.0,0.47,1.3357531760435573,0.0428210333300989,0.0616622879953425,0.0518134503294197,2.370235934664247,1.3357531760435573,1.3611615245009077,2.82032667876588,1.7767695099818512,2.0
1431,0.0032449429472856,1000.0,0.0,0.7736842105263159,0.8771929824561403,0.0386027354379624,0.0555879390306658,0.0467093098799345,2.807017543859649,0.3508771929824561,0.0,3.210526315789473,3.210526315789473,2.0
10023,0.0012532337178058,30.786516853932586,0.0,0.4,0.998402555910543,0.0148088871381147,0.0312067214980585,0.0161541762467213,1.597444089456869,0.998402555910543,0.0,2.3961661341853038,2.3961661341853038,4.0
1935,0.0016418075400341,10.0,0.0,1.0,2.510460251046025,0.02376587130121,0.0342228546737424,0.0313744369771574,0.0,2.510460251046025,0.0,1.6736401673640169,1.6736401673640169,2.0
7584,1.0773446769761992e-05,1000.0,10.0,0.4,1.1618450098756827,0.0287799797286207,0.0367358832826755,0.0336467192694488,1.5103985128383874,1.1618450098756827,1.5103985128383874,5.983501800859766,5.63494829789706,2.0
1964,0.000177820252009,20.0,0.0,1.0,2.5586353944562896,0.0232557643484283,0.0334883006617367,0.0267154710343576,0.0,2.5586353944562896,0.0,1.7057569296375266,1.7057569296375266,4.0
5168,2.7563916281836463e-05,50.0,0.0,0.47,2.009302325581395,0.0428973513480308,0.0617721859411643,0.0519057951311173,1.1511627906976745,0.7848837209302326,0.0,3.1395348837209305,3.1395348837209305,2.0
10532,0.0069617446193126,40.0,0.0,1.0,1.2395118230358506,0.0401787206877322,0.0533701760535146,0.0414748706618878,0.0,1.2395118230358506,0.0,3.8138825324180017,3.8138825324180017,1.947
1466,0.0055998777559836,1000.0,0.0,0.8161290322580645,0.8064516129032258,0.0379500499122439,0.0546480718736312,0.0459195603938151,1.6129032258064515,0.6048387096774194,0.0,3.689516129032258,3.689516129032258,4.0
7233,0.0001307143275893,1000.0,0.0,0.4,1.6853932584269662,0.0188441038353167,0.0287859684897528,0.0228013656407332,1.2640449438202246,1.053370786516854,0.0,3.862359550561798,3.862359550561798,1.5
7942,0.0001663739524287,1000.0,25.0,0.4,0.7911392405063291,0.0446192990558253,0.0543033480972021,0.0494126329227179,1.0284810126582278,0.7911392405063291,1.0284810126582278,4.074367088607595,3.837025316455696,2.0
7832,0.0001103927675187,1000.0,0.0,0.47,1.2176560121765605,0.026985149455445,0.0364266346844987,0.0329573797562448,0.9893455098934552,1.2176560121765605,0.9893455098934552,3.4627092846270933,3.234398782343988,2.0
1118,0.000317518788637,20.0,0.0,1.0,1.400560224089636,0.032763880830508,0.0471799883959316,0.0396442958049147,0.0,1.400560224089636,14.00560224089636,5.602240896358544,2.801120448179272,4.0
8115,7.565830846342779e-05,1000.0,60.0,0.4,0.9406657018813316,0.0324338734645384,0.033769544796205,0.0299200290047206,0.9406657018813316,0.9406657018813316,0.9406657018813316,3.5094066570188134,3.2923299565846604,2.0
9488,8.707917966715135e-05,100.0,0.0,0.55,1.4718377856453173,0.0124650904876227,0.0152919490265805,0.0150827594900234,0.0,1.4718377856453173,0.0,4.303186353395559,4.303186353395559,3.5
8047,5.109277049835029e-05,1000.0,60.0,0.4,0.8058017727639001,0.0438073972533854,0.0547404733686526,0.0493582096456123,1.04754230459307,0.8058017727639001,1.04754230459307,4.149879129734085,3.908138597904915,2.0
7145,0.0013332277306788,100.0,0.0,0.4,1.0344827586206895,0.0363227747285588,0.0523047956091247,0.0439505574215562,1.5673981191222572,1.0344827586206895,0.7836990595611286,3.1347962382445145,2.6645768025078373,2.0
5141,4.13458744227547e-05,50.0,0.0,0.4,1.7267441860465116,0.0428973513480308,0.0617721859411643,0.0519057951311173,1.1511627906976745,1.0988372093023258,0.0,3.1395348837209305,3.1395348837209305,2.0
4383,0.0008547049569997,1000.0,10.0,1.0,1.351351351351351,0.0367963074776498,0.0529866827678157,0.0445235320479562,0.0,1.351351351351351,0.0,6.486486486486486,6.486486486486486,4.0
2333,0.0002500777900232,1000.0,0.0,0.45,1.9444444444444444,0.0363867579224404,0.0512390239117601,0.0440279770861529,1.1333333333333333,1.9444444444444444,0.0,4.166666666666667,4.166666666666667,2.0
222,1.3577463316072484e-05,7.6,0.0,0.4,2.052083333333333,0.0391064226242513,0.0563132485789219,0.0473187713753441,2.4,1.5312500000000002,3.2,7.010416666666667,5.34375,1.5
5388,0.0009027182582301,50.0,0.0,0.38,0.7848837209302326,0.0428973513480308,0.0617721859411643,0.0519057951311173,2.72093023255814,0.7848837209302326,0.0,3.1395348837209305,3.1395348837209305,1.3333333333333333
4716,0.0001990762544347,1000.0,0.0,1.0,2.201754385964912,0.0215665196934836,0.038340479455082,0.0260954888291151,0.0,2.201754385964912,0.0,4.385964912280701,4.385964912280701,4.0
10153,1.2611208477220314e-06,30.404494382022477,0.0,0.4,1.4448669201520912,0.0185120665511325,0.0482648519747992,0.0282391707020973,1.5209125475285172,1.4448669201520912,0.0,1.7870722433460071,1.7870722433460071,4.0
10286,0.0347012653612042,49.115770311881626,0.0,1.0,0.7020164301717698,0.0256368124964116,0.0596558546302544,0.0354219326267952,0.0,0.7020164301717698,0.0,1.568334578043316,1.568334578043316,2.72
5880,6.268449228920238e-06,65.0,14.0,0.4,1.8858532385531108,0.0158025754025173,0.022755708579625,0.019121116237046,2.1271127103847416,1.8858532385531108,0.0,1.880263900621201,1.880263900621201,4.0
1923,0.0093874649146042,20.0,0.0,1.0,1.309328968903437,0.0134532576588474,0.0193726910287402,0.0098002634801519,0.0,1.309328968903437,0.0,1.309328968903437,1.309328968903437,2.0
4309,0.0009131811874352,1000.0,10.0,1.0,1.293103448275862,0.039013119445522,0.0561788920015517,0.0472058745290816,0.0,1.293103448275862,0.0,6.206896551724137,6.206896551724137,4.0
4165,0.0006753888392277,100.0,0.0,1.0,2.032967032967033,0.0195635061015138,0.0281714487861799,0.0236718423828317,0.0,2.032967032967033,0.0,3.2967032967032965,3.2967032967032965,3.0
8252,3.3013324641505936e-06,1000.0,60.0,0.47,1.1807447774750226,0.0368151012910554,0.0522258989179436,0.0473781958200482,1.1807447774750226,1.1807447774750226,1.1807447774750226,4.405086285195277,4.132606721162579,2.0
9378,0.0002906411685028,30.0,0.0,0.45,1.5748031496062993,0.0235727460277018,0.0339447542798906,0.0285230226935192,0.7874015748031497,1.5748031496062993,0.7952755905511811,3.1496062992125986,2.5354330708661417,1.3333333333333333
7966,0.0001659240018929,1000.0,25.0,0.4,0.9622501850481124,0.0277450052620291,0.0373049449396773,0.0328900482237091,0.9622501850481124,0.9622501850481124,0.9622501850481124,3.589933382679497,3.3678756476683938,2.0
8263,2.5908718717056582e-06,1000.0,60.0,0.47,1.3234077750206783,0.0404263918809137,0.0534175774043936,0.0480854757949599,1.0752688172043012,1.3234077750206783,1.0752688172043012,3.763440860215054,3.5153019023986767,2.0
7463,0.0135245142177286,1000.0,0.0,1.0,1.1012658227848098,0.0521937245657708,0.07515896337471,0.0631544067245827,0.0,1.1012658227848098,0.0,6.329113924050633,6.329113924050633,1.19175359259421
3934,8.595183251384504e-05,1000.0,0.0,1.0,2.8846153846153846,0.0268523985226659,0.039414633778277,0.0324914022124257,0.0,2.8846153846153846,0.0,4.807692307692308,4.807692307692308,2.0
7686,5.2448195374549936e-05,1000.0,0.0,0.4,1.267056530214425,0.0485011751210663,0.0533349956714815,0.0487521510287564,1.267056530214425,1.267056530214425,1.267056530214425,4.727095516569201,4.434697855750487,2.0
2295,0.0002703921358148,1000.0,0.0,0.45,2.5,0.0070752029293634,0.0104448848379806,0.0085609955445297,1.4571428571428569,2.5,0.0,5.357142857142857,5.357142857142857,2.0
7258,1.324484019005917e-05,1000.0,0.0,0.4,2.4071526822558456,0.0192411004048809,0.0304087921500813,0.023281731489906,1.237964236588721,1.169188445667125,0.0,3.645116918844567,3.645116918844567,1.5
7431,1.339785076909691e-05,1000.0,0.0,0.47,1.7673048600883652,0.0339758762071143,0.0477246875666462,0.0411108102106084,1.325478645066274,1.104565537555228,0.0,4.050073637702504,4.050073637702504,2.5
4789,0.0001601318830737,1000.0,0.0,0.9,1.744186046511628,0.0203705438998306,0.0293335832157561,0.0246483581187951,0.0,1.744186046511628,0.0,6.395348837209302,6.395348837209302,4.0
1364,0.0002425175806075,1000.0,0.0,0.7,1.5625,0.0376824362395547,0.0542627081849588,0.0455957478498612,0.0,0.78125,0.0,7.1484375,7.1484375,2.0
7161,0.0002454093279014,100.0,0.0,0.4,1.0846343467543138,0.0304481895022519,0.0438453928832428,0.0368423092977249,1.6433853738701727,1.0846343467543138,0.8216926869350863,2.054231717337716,1.561216105176664,1.5
10475,8.682174731039137e-05,22.021656968865194,0.0,0.47,1.6727272727272726,0.0254284931155957,0.0366170300864578,0.0307684766698708,1.4545454545454546,2.163636363636364,2.545454545454546,3.027272727272727,2.1,1.4
2011,0.0274751149528474,50.0,0.0,1.0,0.8492569002123144,0.0246868680528944,0.035549089996168,0.0298711103440023,0.0,0.8492569002123144,0.0,3.397027600849257,3.397027600849257,2.0
3666,3.318932627122412e-06,42.5,0.0,0.47,1.8050092117711491,0.0182668636192877,0.0263042836117744,0.0221029049793382,6.224169695762585,1.618284120898272,2.593404039901077,2.440956985033848,1.545668807781042,1.5
5197,6.890979070459116e-06,50.0,0.0,0.38,1.8627906976744184,0.0428973513480308,0.0617721859411643,0.0519057951311173,1.1511627906976745,0.7848837209302326,0.0,3.1395348837209305,3.1395348837209305,2.0
